[00:03:34] [Server thread/INFO]: [Not Secure] <rooobiiii> me voy a cocinar
[01:12:15] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=136, y=61, z=392} jd{x=135, y=60, z=393}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:12:27] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-41, y=55, z=292} jd{x=-39, y=56, z=292}
[01:13:49] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=-83, y=73, z=562} jd{x=-83, y=72, z=563}
[01:17:25] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 3838ms or 76 ticks behind
